               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031207,           0.0044622,          0.00075593,             0.81583,             0.77236,             0.81471,             0.48628,             0.04449,           0.0025284,           0.0012686,            0.009456,            0.009456,            0.009456
                  36,            0.031059,            0.005623,          0.00075537,             0.78707,             0.79284,             0.84046,             0.52576,            0.040479,           0.0025061,          0.00099583,             0.00944,             0.00944,             0.00944
                  37,            0.031339,           0.0046929,          0.00075974,             0.85868,             0.79678,             0.85898,             0.54001,            0.039714,           0.0025681,          0.00096383,            0.009424,            0.009424,            0.009424
                  38,            0.030945,           0.0046398,          0.00080006,             0.82282,             0.71262,             0.78434,             0.44129,            0.043862,           0.0027476,           0.0012587,            0.009408,            0.009408,            0.009408
                  39,            0.031259,           0.0044668,          0.00074597,             0.82942,             0.78465,             0.82354,             0.50058,            0.041438,           0.0026467,           0.0010046,            0.009392,            0.009392,            0.009392
                  40,            0.031171,           0.0052524,           0.0008204,             0.86858,              0.7653,             0.83767,             0.53463,            0.039237,           0.0025933,          0.00086572,            0.009376,            0.009376,            0.009376
                  41,             0.03124,            0.005029,          0.00085503,             0.85224,             0.80717,             0.85043,             0.52991,            0.039972,           0.0024773,           0.0010369,             0.00936,             0.00936,             0.00936
                  42,            0.029745,            0.005011,          0.00079925,             0.82561,             0.82807,             0.86005,             0.53701,            0.038883,           0.0025035,          0.00081201,            0.009344,            0.009344,            0.009344
                  43,            0.030566,           0.0046071,          0.00080133,             0.88799,             0.78885,             0.84804,             0.51854,            0.040582,           0.0026895,          0.00094447,            0.009328,            0.009328,            0.009328
                  44,            0.029551,           0.0056223,          0.00074414,             0.86884,              0.8151,             0.85386,             0.50632,            0.040947,           0.0026553,            0.001055,            0.009312,            0.009312,            0.009312
                  45,            0.029054,           0.0048664,          0.00070069,             0.81262,             0.84381,             0.85067,             0.51198,            0.039887,           0.0027342,          0.00095372,            0.009296,            0.009296,            0.009296
                  46,            0.029442,           0.0041214,          0.00064338,             0.83703,              0.7521,             0.80951,             0.48056,            0.041902,            0.002664,           0.0010913,             0.00928,             0.00928,             0.00928
                  47,            0.029971,           0.0051924,          0.00070928,             0.82342,             0.77316,             0.81467,             0.50121,            0.042385,           0.0026771,          0.00084596,            0.009264,            0.009264,            0.009264
                  48,            0.028524,           0.0042817,          0.00069997,             0.82431,             0.79703,             0.83322,             0.51642,            0.040019,           0.0026662,          0.00086278,            0.009248,            0.009248,            0.009248
                  49,            0.029094,           0.0051092,          0.00070886,             0.86298,             0.80187,             0.85938,             0.54021,            0.039329,           0.0026962,          0.00093756,            0.009232,            0.009232,            0.009232
                  50,            0.029406,           0.0050522,          0.00070666,             0.89741,             0.77136,             0.84021,             0.55328,            0.040076,           0.0025456,           0.0010046,            0.009216,            0.009216,            0.009216
                  51,            0.028931,           0.0043809,          0.00064683,             0.87037,             0.78349,             0.83821,              0.5106,            0.040592,           0.0026676,          0.00095091,              0.0092,              0.0092,              0.0092
                  52,            0.027441,           0.0035596,          0.00062862,             0.83268,             0.76368,             0.82904,             0.50557,            0.040995,           0.0027772,           0.0010922,            0.009184,            0.009184,            0.009184
                  53,            0.028452,           0.0045715,          0.00062028,             0.87803,             0.78031,             0.85515,             0.53049,            0.040973,           0.0027073,          0.00083301,            0.009168,            0.009168,            0.009168
                  54,            0.027743,           0.0051099,          0.00063359,             0.86227,             0.76961,             0.83331,             0.53472,            0.038906,           0.0026551,           0.0010513,            0.009152,            0.009152,            0.009152
                  55,            0.027491,           0.0042489,          0.00062358,              0.8627,             0.78101,             0.86458,             0.53889,            0.039102,           0.0026253,           0.0010054,            0.009136,            0.009136,            0.009136
                  56,            0.027991,           0.0042975,          0.00061709,             0.86077,             0.76822,             0.84571,             0.51653,            0.040331,           0.0027361,           0.0010329,             0.00912,             0.00912,             0.00912
                  57,            0.029287,            0.003977,          0.00060985,             0.85379,             0.78261,             0.82618,             0.50378,            0.040527,           0.0028363,          0.00083886,            0.009104,            0.009104,            0.009104
                  58,            0.028537,           0.0043003,          0.00060776,             0.86718,             0.75493,             0.82375,             0.49587,            0.044169,           0.0027096,           0.0010122,            0.009088,            0.009088,            0.009088
                  59,            0.028226,           0.0046016,          0.00059595,             0.85711,             0.79596,             0.83867,             0.51123,            0.040871,           0.0027489,          0.00077758,            0.009072,            0.009072,            0.009072
                  60,            0.027463,           0.0040255,          0.00054935,             0.85433,             0.76742,             0.81635,             0.52501,            0.040407,           0.0029756,          0.00085683,            0.009056,            0.009056,            0.009056
                  61,            0.028149,           0.0047738,          0.00061755,             0.86317,             0.75238,             0.81373,             0.51485,             0.04071,           0.0028403,            0.001034,             0.00904,             0.00904,             0.00904
                  62,            0.027843,           0.0050057,          0.00060328,             0.84266,             0.78326,             0.81763,             0.51576,            0.041176,           0.0027409,           0.0010397,            0.009024,            0.009024,            0.009024
                  63,             0.02596,           0.0041212,          0.00054429,             0.85569,             0.79893,             0.84517,             0.53591,            0.040349,           0.0027273,          0.00083394,            0.009008,            0.009008,            0.009008
                  64,            0.027731,           0.0052386,          0.00058296,             0.87015,             0.80007,             0.85724,             0.53012,            0.039982,           0.0026633,          0.00089258,            0.008992,            0.008992,            0.008992
                  65,            0.027271,           0.0038888,          0.00061308,             0.82538,             0.79499,             0.82602,              0.5326,            0.040671,            0.002749,           0.0011423,            0.008976,            0.008976,            0.008976
                  66,            0.027199,           0.0048577,          0.00056679,             0.88193,              0.7897,             0.84358,             0.53549,            0.039102,           0.0027553,           0.0009825,             0.00896,             0.00896,             0.00896
                  67,            0.027005,           0.0043805,          0.00054749,             0.86562,             0.75872,             0.83682,              0.5167,            0.040369,           0.0028866,          0.00090234,            0.008944,            0.008944,            0.008944
                  68,            0.027579,           0.0045991,          0.00052271,             0.85618,             0.79132,             0.82368,             0.51938,            0.041635,           0.0028321,           0.0009239,            0.008928,            0.008928,            0.008928
                  69,            0.026999,           0.0045488,          0.00053975,             0.79074,             0.77836,              0.8146,             0.50635,            0.041817,           0.0028126,           0.0010104,            0.008912,            0.008912,            0.008912
                  70,            0.027173,           0.0038797,          0.00057615,             0.84484,             0.81276,             0.82657,              0.5193,            0.040688,           0.0025811,          0.00089062,            0.008896,            0.008896,            0.008896
                  71,            0.026251,           0.0042682,          0.00063579,             0.85293,             0.76325,             0.82856,             0.54021,            0.040168,           0.0026571,          0.00092999,             0.00888,             0.00888,             0.00888
                  72,            0.026725,           0.0047497,          0.00057468,             0.84966,              0.7785,             0.82811,             0.53798,            0.039869,            0.002573,          0.00094621,            0.008864,            0.008864,            0.008864
                  73,            0.026059,           0.0037905,          0.00048867,             0.85708,             0.77854,             0.81977,             0.54171,            0.040333,           0.0027308,           0.0010725,            0.008848,            0.008848,            0.008848
                  74,            0.027431,            0.004553,          0.00062192,             0.86391,             0.79212,             0.82174,             0.52301,            0.040743,           0.0028566,           0.0010215,            0.008832,            0.008832,            0.008832
                  75,            0.026002,           0.0040949,          0.00054742,             0.90371,             0.77015,             0.82963,             0.52892,             0.04101,           0.0028965,          0.00084566,            0.008816,            0.008816,            0.008816
                  76,            0.026415,           0.0046287,          0.00054053,             0.88179,             0.79694,              0.8275,             0.55661,            0.038637,           0.0027604,          0.00082409,              0.0088,              0.0088,              0.0088
                  77,            0.025991,           0.0040884,          0.00046618,             0.86449,             0.75901,             0.82008,              0.5427,            0.040122,           0.0027787,           0.0009616,            0.008784,            0.008784,            0.008784
                  78,            0.026371,           0.0040719,          0.00052233,             0.83389,             0.77986,             0.82673,             0.50196,            0.041134,           0.0028716,          0.00085044,            0.008768,            0.008768,            0.008768
                  79,            0.025956,           0.0044515,          0.00052535,             0.84002,             0.81053,             0.85317,             0.53351,            0.039703,           0.0027928,          0.00077825,            0.008752,            0.008752,            0.008752
